Kingdom	Phylum	Class	Order	Family	Genus	Species
OTUF_37	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Cantharellales_fam_Incertae_sedis	g__Minimedusa	s__polyspora
OTUF_38	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Piskurozymaceae	g__Solicoccozyma	s__terricola
OTUF_39	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium	s__marchalianum
OTUF_43	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Hymenoscyphus	s__menthae
OTUF_45	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Chaetothyriaceae	NA	NA
OTUF_47	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Bolbitiaceae	g__Agrocybe	s__pediades
OTUF_48	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Microdochiaceae	g__Microdochium	s__colombiense
OTUF_49	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Humicola	s__grisea
OTUF_50	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Drechslera	NA
OTUF_51	k__Fungi	p__Olpidiomycota	c__Olpidiomycetes	o__Olpidiales	f__Olpidiaceae	g__Olpidium	s__brassicae
OTUF_52	k__Fungi	p__Basidiomycota	c__Tremellomycetes	NA	NA	NA	NA
OTUF_54	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lindgomycetaceae	g__Clohesyomyces	s__aquaticus
OTUF_55	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Alternaria	s__alternata
OTUF_56	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	g__Pseudaleuria	NA
OTUF_57	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Myrmecridiales	f__Myrmecridiaceae	g__Myrmecridium	s__schulzeri
OTUF_58	k__Fungi	NA	NA	NA	NA	NA	NA
OTUF_59	k__Fungi	p__Basidiomycota	c__Agaricomycetes	NA	NA	NA	NA
OTUF_60	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Plectosphaerellaceae	g__Plectosphaerella	s__cucumerina
OTUF_61	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Stachybotryaceae	NA	NA
OTUF_62	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Chaetomium	NA
OTUF_63	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Sporormiaceae	g__Preussia	s__terricola
OTUF_64	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Bolbitiaceae	g__Conocybe	s__apala
OTUF_65	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Bionectriaceae	g__Clonostachys	s__rosea
OTUF_67	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymosphaeriaceae	g__Paraphaeosphaeria	NA
OTUF_68	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Ophiosphaerella	NA
OTUF_70	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lindgomycetaceae	g__Clohesyomyces	s__aquaticus
OTUF_71	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
OTUF_72	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Chaetothyriaceae	NA	NA
OTUF_73	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Piskurozymaceae	g__Solicoccozyma	s__aeria
OTUF_74	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Chaetosphaeriales	f__Chaetosphaeriaceae	NA	NA
OTUF_75	k__Fungi	p__Chytridiomycota	c__Rhizophlyctidomycetes	o__Rhizophlyctidales	f__Rhizophlyctidaceae	g__Rhizophlyctis	s__rosea
OTUF_76	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Cercophora	NA
OTUF_77	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Coprinopsis	NA
OTUF_79	k__Fungi	p__Mucoromycota	c__Mucoromycetes	o__Mucorales	f__Rhizopodaceae	g__Rhizopus	s__arrhizus
OTUF_80	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Chaetomium	NA
OTUF_81	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Pyrenochaetopsis	s__leptospora
OTUF_83	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Funneliformis	s__mosseae
OTUF_84	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Plectosphaerellaceae	g__Gibellulopsis	s__piscis
OTUF_85	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma	s__asperellum
OTUF_86	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium	NA
OTUF_87	k__Fungi	NA	NA	NA	NA	NA	NA
OTUF_88	k__Fungi	NA	NA	NA	NA	NA	NA
OTUF_90	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Clavicipitaceae	g__Metacordyceps	s__chlamydosporia
OTUF_91	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Glarea	NA
OTUF_93	k__Fungi	NA	NA	NA	NA	NA	NA
OTUF_94	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__gamsii
OTUF_95	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae	g__Waitea	s__circinata
OTUF_97	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Zopfiella	s__marina
OTUF_98	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
OTUF_99	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Chaetosphaeriales	f__Chaetosphaeriaceae	g__Chaetosphaeria	s__vermicularioides
OTUF_100	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__beljakovae
OTUF_103	k__Fungi	NA	NA	NA	NA	NA	NA
OTUF_106	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
OTUF_109	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Plectosphaerellaceae	g__Lectera	s__colletotrichoides
OTUF_110	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Schizothecium	s__glutinans
OTUF_112	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Leptosphaeriaceae	g__Plenodomus	s__biglobosus
OTUF_115	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Pseudeurotiaceae	g__Pseudeurotium	NA
OTUF_116	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__concentricum
OTUF_117	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Talaromyces	NA
OTUF_120	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__alpina
OTUF_121	k__Fungi	p__Basidiomycota	c__Agaricomycetes	NA	NA	NA	NA
OTUF_123	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Periconiaceae	g__Periconia	NA
OTUF_126	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Pseudeurotiaceae	g__Pseudogymnoascus	s__pannorum
OTUF_129	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Rhynchogastremataceae	g__Papiliotrema	s__laurentii
OTUF_130	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Cercophora	NA
OTUF_131	k__Fungi	NA	NA	NA	NA	NA	NA
OTUF_135	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	NA	NA
OTUF_137	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Calyptella	s__capula
OTUF_140	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Pyrenochaeta	s__inflorescentiae
OTUF_141	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Coprinopsis	s__urticicola
OTUF_142	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Schizoporaceae	g__Xylodon	NA
OTUF_143	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Ascobolaceae	g__Ascobolus	NA
OTUF_144	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Ascobolaceae	g__Ascobolus	NA
OTUF_145	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	NA	NA	NA
OTUF_146	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Stephanosporaceae	NA	NA
OTUF_147	k__Fungi	p__Chytridiomycota	NA	NA	NA	NA	NA
OTUF_148	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Torulaceae	g__Dendryphion	s__europaeum
OTUF_149	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	NA	NA	NA
OTUF_152	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	NA	NA	NA
OTUF_154	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Rhizophagus	s__irregularis
OTUF_155	k__Fungi	NA	NA	NA	NA	NA	NA
OTUF_157	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	NA	NA
OTUF_158	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Microdochiaceae	g__Microdochium	s__colombiense
OTUF_159	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__solani
OTUF_160	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Rhizophagus	NA
OTUF_161	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	NA	NA	NA
OTUF_162	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Glomerellaceae	g__Colletotrichum	NA
OTUF_163	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Acremonium	s__curvulum
OTUF_164	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Bolbitiaceae	g__Conocybe	s__juniana
OTUF_165	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__sarnyensis
OTUF_168	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae	NA	NA
OTUF_169	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Mycena	s__citrinomarginata
OTUF_170	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	g__Lecythophora	NA
OTUF_171	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Marasmiaceae	g__Marasmius	s__somalomoensis
OTUF_176	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	NA	NA	NA
OTUF_178	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Psathyrella	NA
OTUF_180	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Ascobolaceae	g__Ascobolus	NA
OTUF_181	k__Fungi	NA	NA	NA	NA	NA	NA
OTUF_183	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Rhizophagus	s__irregularis
OTUF_184	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryomycetes_ord_Incertae_sedis	f__Chrysozymaceae	g__Slooffia	s__cresolica
OTUF_185	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	NA	NA
OTUF_187	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	NA	NA	NA
OTUF_188	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Erythrobasidiales	f__Erythrobasidiales_fam_Incertae_sedis	g__Sakaguchia	s__lamellibrachiae
OTUF_189	k__Fungi	p__Mucoromycota	c__Mucoromycetes	o__Mucorales	f__Mucoraceae	g__Mucor	s__circinelloides
OTUF_190	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Curvularia	s__inaequalis
OTUF_191	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Stephanosporaceae	NA	NA
OTUF_193	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Thyridariaceae	g__Roussoella	s__solani
OTUF_194	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Ascobolaceae	g__Ascobolus	NA
OTUF_195	k__Fungi	p__Mucoromycota	c__Mucoromycetes	o__Mucorales	f__Cunninghamellaceae	g__Gongronella	s__butleri
OTUF_196	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Talaromyces	s__islandicus
OTUF_197	k__Fungi	p__Basidiomycota	c__Agaricomycetes	NA	NA	NA	NA
OTUF_198	k__Fungi	NA	NA	NA	NA	NA	NA
OTUF_199	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Rhizophagus	s__irregularis
OTUF_200	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Podospora	NA
OTUF_202	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	NA	NA	NA
OTUF_203	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
OTUF_205	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma	NA
OTUF_208	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Trichocladium	s__opacum
OTUF_210	k__Fungi	p__Ascomycota	c__Sordariomycetes	NA	NA	NA	NA
OTUF_214	k__Fungi	p__Chytridiomycota	c__Spizellomycetes	o__Spizellomycetales	NA	NA	NA
OTUF_215	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Pseudeurotiaceae	g__Pseudeurotium	s__bakeri
OTUF_217	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Erythrobasidiales	f__Erythrobasidiales_fam_Incertae_sedis	g__Sakaguchia	s__lamellibrachiae
OTUF_218	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Trimmatostroma	s__salicis
OTUF_219	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Rhizophagus	s__diaphanus
OTUF_220	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
OTUF_221	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
OTUF_222	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
OTUF_223	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Trimorphomycetaceae	g__Saitozyma	s__podzolica
OTUF_224	k__Fungi	NA	NA	NA	NA	NA	NA
OTUF_225	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	NA	NA	NA
OTUF_226	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Chalara	NA
OTUF_228	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Bipolaris	NA
OTUF_230	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	NA	NA	NA
OTUF_232	k__Fungi	p__Kickxellomycota	c__Kickxellomycetes	o__Kickxellales	f__Kickxellaceae	g__Ramicandelaber	s__fabisporus
OTUF_234	k__Fungi	p__Mucoromycota	c__Mucoromycetes	o__Mucorales	f__Mucoraceae	g__Mucor	s__hiemalis
OTUF_236	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Alternaria	s__metachromatica
OTUF_237	k__Fungi	NA	NA	NA	NA	NA	NA
OTUF_239	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Apodus	s__deciduus
OTUF_240	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Nidulariaceae	g__Cyathus	s__stercoreus
OTUF_244	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Sporormiaceae	g__Preussia	s__flanaganii
OTUF_245	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__solani
OTUF_246	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	NA	NA
OTUF_247	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma	s__lixii
OTUF_248	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Holtermanniales	f__Holtermanniales_fam_Incertae_sedis	g__Holtermanniella	s__takashimae
OTUF_249	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	NA
OTUF_250	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Ilyonectria	s__robusta
OTUF_252	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	NA	NA	NA
OTUF_253	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Funneliformis	s__caledonium
OTUF_254	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	NA
OTUF_259	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__Rhizophydiales_fam_Incertae_sedis	g__Operculomyces	s__laminatus
OTUF_260	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Bolbitiaceae	g__Conocybe	NA
OTUF_262	k__Fungi	NA	NA	NA	NA	NA	NA
OTUF_263	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Bartaliniaceae	NA	NA
OTUF_264	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Phialophora	s__cyclaminis
OTUF_265	k__Fungi	p__Mucoromycota	c__Mucoromycetes	o__Mucorales	f__Cunninghamellaceae	g__Cunninghamella	s__elegans
OTUF_266	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusicolla	NA
OTUF_267	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
OTUF_268	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__paraensis
OTUF_270	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Clavicipitaceae	g__Metarhizium	s__marquandii
OTUF_271	k__Fungi	p__Ascomycota	c__Sordariomycetes	NA	NA	NA	NA
OTUF_272	k__Fungi	p__Chytridiomycota	NA	NA	NA	NA	NA
OTUF_273	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Stachybotryaceae	NA	NA
OTUF_274	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Niessliaceae	NA	NA
OTUF_275	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
OTUF_278	k__Fungi	NA	NA	NA	NA	NA	NA
OTUF_280	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Cystofilobasidiaceae	g__Cystofilobasidium	s__macerans
OTUF_281	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Strophariaceae	g__Psilocybe	s__inquilina
OTUF_282	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__ambigua
OTUF_284	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__sclerotiella
OTUF_286	k__Fungi	p__Kickxellomycota	c__Kickxellomycetes	o__Kickxellales	f__Kickxellaceae	g__Ramicandelaber	s__fabisporus
OTUF_287	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Exophiala	s__salmonis
OTUF_288	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
OTUF_289	k__Fungi	p__Basidiomycota	c__Ustilaginomycetes	o__Ustilaginales	f__Ustilaginaceae	g__Ustilago	s__maydis
OTUF_290	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Loramycetaceae	g__Loramyces	s__macrosporus
OTUF_293	k__Fungi	p__Ascomycota	c__Sordariomycetes	NA	NA	NA	NA
OTUF_294	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	NA	NA	NA
OTUF_295	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Fusariella	NA
OTUF_296	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Omphalotaceae	g__Marasmiellus	s__tricolor
OTUF_300	k__Fungi	p__Basidiomycota	c__Tremellomycetes	NA	NA	NA	NA
OTUF_301	k__Fungi	NA	NA	NA	NA	NA	NA
OTUF_302	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Phaffomycetaceae	g__Cyberlindnera	NA
OTUF_306	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Pyrenochaeta	s__inflorescentiae
OTUF_308	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	NA	NA
OTUF_311	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Clavicipitaceae	g__Metarhizium	s__carneum
OTUF_313	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	NA	NA
OTUF_315	k__Fungi	p__Chytridiomycota	c__Spizellomycetes	o__Spizellomycetales	f__Spizellomycetaceae	NA	NA
OTUF_316	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
OTUF_317	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	NA	NA	NA
OTUF_322	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Podospora	NA
OTUF_324	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	NA	NA	NA
OTUF_325	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Coleophoma	NA
OTUF_326	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
